Formatted Date,Temperature (C)_mean,Apparent Temperature (C)_mean,Humidity_mean,Wind Speed (km/h)_mean,Wind Bearing (degrees)_mean,anomaly_score,Season
2006-01-23,-11.469444444444443,-18.281944444444445,0.6816666666666666,15.694145833333335,16.291666666666668,-0.12002758913608325,Winter
2012-02-03,-11.202314814814814,-18.825462962962963,0.68,17.921312500000003,19.125,-0.10935581445454934,Winter
2012-02-08,-15.310185185185185,-17.641435185185184,0.6366666666666667,5.948279166666667,170.5,-0.09588888094271575,Winter
2012-02-10,-15.958796296296297,-17.815509259259258,0.7479166666666667,4.7629166666666665,193.70833333333334,-0.09530351759669164,Winter
2012-02-09,-15.372685185185185,-18.048842592592592,0.6345833333333334,6.581545833333333,188.70833333333334,-0.09122157399495567,Winter
2008-02-16,-4.462731481481481,-11.235185185185186,0.6629166666666667,23.614675000000002,140.25,-0.0783612026143552,Winter
2014-01-31,-4.4875,-12.298842592592592,0.7491666666666666,30.316300000000002,145.20833333333334,-0.07471011501505664,Winter
2012-02-11,-12.762500000000001,-16.678703703703704,0.7033333333333333,7.493208333333333,146.04166666666666,-0.07449081744575337,Winter
2009-12-20,-10.305555555555555,-16.37986111111111,0.7091666666666666,14.4477375,246.08333333333334,-0.07032081618399189,Winter
2016-01-17,-2.6643518518518516,-9.328703703703704,0.7095833333333333,25.319262499999997,7.708333333333333,-0.06906702993798874,Winter
2013-03-24,-2.0921296296296297,-8.126157407407407,0.5183333333333333,21.80745,27.5,-0.06380763845523763,Spring
2009-01-09,-10.088888888888889,-10.643055555555556,0.8670833333333333,3.417225,90.33333333333333,-0.061901478734763926,Winter
2009-12-19,-6.878703703703703,-13.03101851851852,0.8766666666666666,17.298779166666666,116.0,-0.05960211799244597,Winter
2008-02-17,-5.687731481481482,-10.06875,0.4816666666666667,10.5938,210.16666666666666,-0.05845052422801522,Winter
2012-02-05,-12.220531400966182,-15.585024154589371,0.7565217391304347,6.5737,173.0,-0.055132940559588284,Winter
